date,ticker,price
2024-01-01,AAPL,150.58142396675674
2024-01-02,AAPL,149.4103371888381
2024-01-03,AAPL,148.42232640651602
2024-01-04,AAPL,147.91337975836618
2024-01-05,AAPL,148.3267064035419
2024-01-06,AAPL,147.8209174483996
2024-01-07,AAPL,146.78259692045492
2024-01-08,AAPL,147.2574173498031
2024-01-09,AAPL,149.02532156974442
2024-01-10,AAPL,148.41227228442966
2024-01-11,AAPL,148.50528443653715
2024-01-12,AAPL,148.15602707349353
2024-01-13,AAPL,147.47051793201194
2024-01-14,AAPL,146.22066138218807
2024-01-15,AAPL,146.83960850215675
2024-01-16,AAPL,147.00444640692615
2024-01-17,AAPL,147.70838271913146
2024-01-18,AAPL,148.19943501372038
2024-01-19,AAPL,145.81476813358805
2024-01-20,AAPL,145.31518844884476
